TagName,TagValue,TagQuality
ER_ISGS_ACT.STN.MW.KUR,#N/A,0
ER_ISGS_SCH.STN.MW.KUR,#N/A,0
ER_GEN.STN.MW.CESC,#N/A,0
ERMISC.STN.PARM.REVNO,90,1
ER_LINES.LINE.BSF-MZP1.MW,-192.407104,1
ER_LINES.LINE.BSF-MZP2.MW,-193.117233,1
ER_LINES.LINE.MLD-PUR2.MW,#N/A,0
ER_LINES.LINE.PUR-MLD2.MW,#N/A,0
ER_LINES.LINE.BNG-PUR3.MW,#N/A,0
ER_LINES.LINE.BNG-PUR4.MW,#N/A,0
ER_LINES.LINE.PUR-BNG1.MW,#N/A,0
ER_LINES.LINE.PUR-BNG2.MW,#N/A,0
ER_LINES.LINE.PUR-BNG3.MW,#N/A,0
ER_LINES.LINE.PUR-BNG4.MW,#N/A,0
ER_LINES.LINE.PUR-MZP1.MW,#N/A,0
ER_LINES.LINE.PUR-MZP2.MW,#N/A,0
ER_LINES.LINE.BARH-PAT1.MW,-78.822578,1
ER_LINES.LINE.BARH-PAT2.MW,-78.834709,1
ER_IR_EX.STN.MW.PAT-BAL1,#N/A,0
ER_IR_EX.STN.MW.PAT-BAL2,#N/A,0
ER_IR_EX.STN.MW.BSF-BAL1,#N/A,0
ER_IR_EX.STN.MW.BSF-BAL2,#N/A,0
ER_ISGS_DC.STN.MW.FKK,#N/A,0
ER_ISGS_DC.STN.MW.KHG,#N/A,0
ER_ISGS_DC.STN.MW.TAL,934.5,1
ER_ISGS_DC.STN.MW.CKA,0,1
ER_ISGS_DC.STN.MW.RNG,36,1
ER_ISGS_DC.STN.MW.KUR,#N/A,0
ER_ISGS_DC.STN.MW.THP,0,1
TALCH_BUS_COUPLER_FLOW.STN.MW.TAL,#N/A,0
KOLKATA_LOAD_MET,#N/A,0
ER_ISGS_ACT.STN.MW.THP,#N/A,0
ER_ISGS_SCH.STN.MW.THP,#N/A,0
ER_GEN.STN.MW.PPS,#N/A,0
